split,method,boundary_bin,n,mean_boundary_gap,coverage_in_bin,raw_mse,lrbn_mse,method_mse,delta_vs_lrbn,delta_pct_vs_lrbn,win_rate_vs_lrbn,harm_rate_vs_lrbn
val,raw_no_correction,q1_low,192,0.5861683710539275,0.0,7.284608573385493,7.091515302016364,7.284608573385493,0.19309327136912954,2.7228774510567333,0.375,0.625
val,raw_no_correction,q2,192,1.948800469653954,0.0,8.460302116972624,8.123508677520418,8.460302116972624,0.3367934394522048,4.145910990033145,0.3958333333333333,0.6041666666666666
val,raw_no_correction,q3,192,4.0105043798649,0.0,9.502263558389245,8.788274218668962,9.502263558389245,0.7139893397202829,8.124340696960953,0.3333333333333333,0.6666666666666666
val,raw_no_correction,q4_high,192,5022.4288337105545,0.0,11.437570242100373,11.185413502632132,11.437570242100373,0.2521567394682392,2.254335426968972,0.421875,0.578125
val,HalluGuard-LRBN,q1_low,192,0.5861683710539275,0.0,7.284608573385493,7.091515302016364,7.091515302016364,0.0,0.0,0.0,0.0
val,HalluGuard-LRBN,q2,192,1.948800469653954,0.0,8.460302116972624,8.123508677520418,8.123508677520418,0.0,0.0,0.0,0.0
val,HalluGuard-LRBN,q3,192,4.0105043798649,0.0,9.502263558389245,8.788274218668962,8.788274218668962,0.0,0.0,0.0,0.0
val,HalluGuard-LRBN,q4_high,192,5022.4288337105545,0.0,11.437570242100373,11.185413502632132,11.185413502632132,0.0,0.0,0.0,0.0
val,HalluGuard-LRBN-BP-gated,q1_low,192,0.5861683710539275,0.0,7.284608573385493,7.091515302016364,7.091515302016364,0.0,0.0,0.0,0.0
val,HalluGuard-LRBN-BP-gated,q2,192,1.948800469653954,0.0,8.460302116972624,8.123508677520418,8.123508677520418,0.0,0.0,0.0,0.0
val,HalluGuard-LRBN-BP-gated,q3,192,4.0105043798649,0.0,9.502263558389245,8.788274218668962,8.788274218668962,0.0,0.0,0.0,0.0
val,HalluGuard-LRBN-BP-gated,q4_high,192,5022.4288337105545,0.203125,11.437570242100373,11.185413502632132,10.775434545240797,-0.40997895739133633,-3.6652999634598156,0.15625,0.046875
val,HalluGuard-LRBN-BP-always,q1_low,192,0.5861683710539275,1.0,7.284608573385493,7.091515302016364,7.050937505370143,-0.04057779664622022,-0.57220205923356,0.4791666666666667,0.5208333333333334
